Molecule ChEMBL ID,Smiles,Molecular Weight,#RO5 Violations,Standard Type,Standard Value,Standard Units,Bioactivity Class
CHEMBL1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,700.79,2.0,IC50,8400.0,nM,Inactive
CHEMBL275594,CCCC1(c2ccncc2)CCC(=O)NC1=O,232.28,0.0,IC50,6000.0,nM,Inactive
CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1,254.29,0.0,IC50,27000.0,nM,Inactive
CHEMBL223452,N#Cc1ccc(C(c2ccc(C#N)cc2)c2cncnc2)cc1,296.33,0.0,IC50,288.4,nM,Intermediate
CHEMBL375043,N#Cc1ccc(Cn2ccnc2)c2ccccc12,233.27,0.0,IC50,10.96,nM,Active
CHEMBL31760,C=C(c1ccc(C#N)cc1)n1ccnc1,195.22,0.0,IC50,4.169,nM,Active
CHEMBL350922,O=c1c2ccccc2oc2cc(Cn3ccnc3)ccc12,276.3,0.0,IC50,389.05,nM,Intermediate
CHEMBL223607,O=c1ccoc2cc(Cn3cncn3)ccc12,227.22,0.0,IC50,3715.35,nM,Inactive
CHEMBL25695,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,328.5,1.0,IC50,390.0,nM,Intermediate
CHEMBL493174,COc1ccc(OC)c2c(C)cc(=O)[nH]c12,219.24,0.0,IC50,26800.0,nM,Inactive
CHEMBL492762,COc1cc(=O)n(C)c2c3c(ccc12)OCO3,233.22,0.0,IC50,3920.0,nM,Inactive
CHEMBL226945,COc1ccc(CN(c2ccc(C#N)cc2)n2cnnc2)cc1OS(N)(=O)=O,400.42,0.0,IC50,12.0,nM,Active
CHEMBL226893,N#Cc1ccc(N(Cc2ccc(Br)c(OS(N)(=O)=O)c2)n2cnnc2)cc1,449.29,0.0,IC50,3.9,nM,Active
